realtime,time,traffic,Average-traffic
43111.52,1/11/2018 12:30,42,
43111.53,1/11/2018 12:45,42,
43111.54,1/11/2018 13:00,56,
43111.55,1/11/2018 13:15,56,
43111.56,1/11/2018 13:30,56,
43111.57,1/11/2018 13:45,56,
43111.58,1/11/2018 14:00,85,
43111.59,1/11/2018 14:15,85,
43111.6,1/11/2018 14:30,85,
43111.61,1/11/2018 14:45,85,
43111.63,1/11/2018 15:00,94,
43111.64,1/11/2018 15:15,94,
43111.65,1/11/2018 15:30,94,
43111.66,1/11/2018 15:45,94,
43111.67,1/11/2018 16:00,99,
43111.68,1/11/2018 16:15,99,
43111.69,1/11/2018 16:30,99,
43111.7,1/11/2018 16:45,99,
43111.71,1/11/2018 17:00,50,
43111.72,1/11/2018 17:15,50,
43111.73,1/11/2018 17:30,50,
43111.74,1/11/2018 17:45,50,
43111.75,1/11/2018 18:00,28,
43111.76,1/11/2018 18:15,28,
43111.77,1/11/2018 18:30,28,
43111.78,1/11/2018 18:45,28,
43111.79,1/11/2018 19:00,21,
43111.8,1/11/2018 19:15,21,
43111.81,1/11/2018 19:30,21,
43111.82,1/11/2018 19:45,21,
43111.83,1/11/2018 20:00,12,
43111.84,1/11/2018 20:15,12,
43111.85,1/11/2018 20:30,12,
43111.86,1/11/2018 20:45,12,
43111.88,1/11/2018 21:00,8,
43111.89,1/11/2018 21:15,8,
43111.9,1/11/2018 21:30,8,
43111.91,1/11/2018 21:45,8,
43111.92,1/11/2018 22:00,9,
43111.93,1/11/2018 22:15,9,
43111.94,1/11/2018 22:30,9,
43111.95,1/11/2018 22:45,9,
43111.96,1/11/2018 23:00,7,
43111.97,1/11/2018 23:15,7,
43111.98,1/11/2018 23:30,7,
43111.99,1/11/2018 23:45,7,
43112,1/12/2018 0:00,0,
43112.01,1/12/2018 0:15,0,
43112.02,1/12/2018 0:30,0,
43112.03,1/12/2018 0:45,0,
43112.04,1/12/2018 1:00,0,
43112.05,1/12/2018 1:15,0,
43112.06,1/12/2018 1:30,0,
43112.07,1/12/2018 1:45,0,
43112.08,1/12/2018 2:00,0,
43112.09,1/12/2018 2:15,0,
43112.1,1/12/2018 2:30,0,
43112.11,1/12/2018 2:45,0,
43112.13,1/12/2018 3:00,0,
43112.14,1/12/2018 3:15,0,
43112.15,1/12/2018 3:30,0,
43112.16,1/12/2018 3:45,0,
43112.17,1/12/2018 4:00,1,
43112.18,1/12/2018 4:15,1,
43112.19,1/12/2018 4:30,1,
43112.2,1/12/2018 4:45,1,
43112.21,1/12/2018 5:00,5,
43112.22,1/12/2018 5:15,5,
43112.23,1/12/2018 5:30,5,
43112.24,1/12/2018 5:45,5,
43112.25,1/12/2018 6:00,22,
43112.26,1/12/2018 6:15,22,
43112.27,1/12/2018 6:30,22,
43112.28,1/12/2018 6:45,22,
43112.29,1/12/2018 7:00,73,
43112.3,1/12/2018 7:15,73,
43112.31,1/12/2018 7:30,73,
43112.32,1/12/2018 7:45,73,
43112.33,1/12/2018 8:00,107,
43112.34,1/12/2018 8:15,107,
43112.35,1/12/2018 8:30,107,
43112.36,1/12/2018 8:45,107,
43112.38,1/12/2018 9:00,35,
43112.39,1/12/2018 9:15,35,
43112.4,1/12/2018 9:30,35,
43112.41,1/12/2018 9:45,35,
43112.42,1/12/2018 10:00,28,
43112.43,1/12/2018 10:15,28,
43112.44,1/12/2018 10:30,28,
43112.45,1/12/2018 10:45,28,
43112.46,1/12/2018 11:00,29,
43112.47,1/12/2018 11:15,29,
43112.48,1/12/2018 11:30,29,
43112.49,1/12/2018 11:45,29,
43112.5,1/12/2018 12:00,39,
43112.51,1/12/2018 12:15,39,
43112.52,1/12/2018 12:30,39,
43112.53,1/12/2018 12:45,39,
43112.54,1/12/2018 13:00,42,
43112.55,1/12/2018 13:15,42,
43112.56,1/12/2018 13:30,42,
43112.57,1/12/2018 13:45,42,
43112.58,1/12/2018 14:00,70,
43112.59,1/12/2018 14:15,70,
43112.6,1/12/2018 14:30,70,
43112.61,1/12/2018 14:45,70,
43112.63,1/12/2018 15:00,101,
43112.64,1/12/2018 15:15,101,
43112.65,1/12/2018 15:30,101,
43112.66,1/12/2018 15:45,101,
43112.67,1/12/2018 16:00,57,
43112.68,1/12/2018 16:15,57,
43112.69,1/12/2018 16:30,57,
43112.7,1/12/2018 16:45,57,
43112.71,1/12/2018 17:00,65,
43112.72,1/12/2018 17:15,65,
43112.73,1/12/2018 17:30,65,
43112.74,1/12/2018 17:45,65,
43112.75,1/12/2018 18:00,22,
43112.76,1/12/2018 18:15,22,
43112.77,1/12/2018 18:30,22,
43112.78,1/12/2018 18:45,22,
43112.79,1/12/2018 19:00,17,
43112.8,1/12/2018 19:15,17,
43112.81,1/12/2018 19:30,17,
43112.82,1/12/2018 19:45,17,
43112.83,1/12/2018 20:00,23,
43112.84,1/12/2018 20:15,23,
43112.85,1/12/2018 20:30,23,
43112.86,1/12/2018 20:45,23,
43112.88,1/12/2018 21:00,12,
43112.89,1/12/2018 21:15,12,
43112.9,1/12/2018 21:30,12,
43112.91,1/12/2018 21:45,12,
43112.92,1/12/2018 22:00,22,
43112.93,1/12/2018 22:15,22,
43112.94,1/12/2018 22:30,22,
43112.95,1/12/2018 22:45,22,
43112.96,1/12/2018 23:00,7,
43112.97,1/12/2018 23:15,7,
43112.98,1/12/2018 23:30,7,
43112.99,1/12/2018 23:45,7,
43115,1/15/2018 0:00,3,
43115.01,1/15/2018 0:15,3,
43115.02,1/15/2018 0:30,3,
43115.03,1/15/2018 0:45,3,
43115.04,1/15/2018 1:00,0,
43115.05,1/15/2018 1:15,0,
43115.06,1/15/2018 1:30,0,
43115.07,1/15/2018 1:45,0,
43115.08,1/15/2018 2:00,0,
43115.09,1/15/2018 2:15,0,
43115.1,1/15/2018 2:30,0,
43115.11,1/15/2018 2:45,0,
43115.13,1/15/2018 3:00,1,
43115.14,1/15/2018 3:15,1,
43115.15,1/15/2018 3:30,1,
43115.16,1/15/2018 3:45,1,
43115.17,1/15/2018 4:00,3,
43115.18,1/15/2018 4:15,3,
43115.19,1/15/2018 4:30,3,
43115.2,1/15/2018 4:45,3,
43115.21,1/15/2018 5:00,5,
43115.22,1/15/2018 5:15,5,
43115.23,1/15/2018 5:30,5,
43115.24,1/15/2018 5:45,5,
43115.25,1/15/2018 6:00,19,
43115.26,1/15/2018 6:15,19,
43115.27,1/15/2018 6:30,19,
43115.28,1/15/2018 6:45,19,
43115.29,1/15/2018 7:00,61,
43115.3,1/15/2018 7:15,61,
43115.31,1/15/2018 7:30,61,
43115.32,1/15/2018 7:45,61,
43115.33,1/15/2018 8:00,99,
43115.34,1/15/2018 8:15,99,
43115.35,1/15/2018 8:30,99,
43115.36,1/15/2018 8:45,99,
43115.38,1/15/2018 9:00,34,
43115.39,1/15/2018 9:15,34,
43115.4,1/15/2018 9:30,34,
43115.41,1/15/2018 9:45,34,
43115.42,1/15/2018 10:00,39,
43115.43,1/15/2018 10:15,39,
43115.44,1/15/2018 10:30,39,
43115.45,1/15/2018 10:45,39,
43115.46,1/15/2018 11:00,17,
43115.47,1/15/2018 11:15,17,
43115.48,1/15/2018 11:30,17,
43115.49,1/15/2018 11:45,17,
43115.5,1/15/2018 12:00,36,
43115.51,1/15/2018 12:15,36,
43115.52,1/15/2018 12:30,36,
43115.53,1/15/2018 12:45,36,
43115.54,1/15/2018 13:00,36,
43115.55,1/15/2018 13:15,36,
43115.56,1/15/2018 13:30,36,
43115.57,1/15/2018 13:45,36,
43115.58,1/15/2018 14:00,49,
43115.59,1/15/2018 14:15,49,
43115.6,1/15/2018 14:30,49,
43115.61,1/15/2018 14:45,49,
43115.63,1/15/2018 15:00,57,
43115.64,1/15/2018 15:15,57,
43115.65,1/15/2018 15:30,57,
43115.66,1/15/2018 15:45,57,
43115.67,1/15/2018 16:00,59,
43115.68,1/15/2018 16:15,59,
43115.69,1/15/2018 16:30,59,
43115.7,1/15/2018 16:45,59,
43115.71,1/15/2018 17:00,34,
43115.72,1/15/2018 17:15,34,
43115.73,1/15/2018 17:30,34,
43115.74,1/15/2018 17:45,34,
43115.75,1/15/2018 18:00,6,
43115.76,1/15/2018 18:15,6,
43115.77,1/15/2018 18:30,6,
43115.78,1/15/2018 18:45,6,
43115.79,1/15/2018 19:00,5,
43115.8,1/15/2018 19:15,5,
43115.81,1/15/2018 19:30,5,
43115.82,1/15/2018 19:45,5,
43115.83,1/15/2018 20:00,6,
43115.84,1/15/2018 20:15,6,
43115.85,1/15/2018 20:30,6,
43115.86,1/15/2018 20:45,6,
43115.88,1/15/2018 21:00,5,
43115.89,1/15/2018 21:15,5,
43115.9,1/15/2018 21:30,5,
43115.91,1/15/2018 21:45,5,
43115.92,1/15/2018 22:00,5,
43115.93,1/15/2018 22:15,5,
43115.94,1/15/2018 22:30,5,
43115.95,1/15/2018 22:45,5,
43115.96,1/15/2018 23:00,3,
43115.97,1/15/2018 23:15,3,
43115.98,1/15/2018 23:30,3,
43115.99,1/15/2018 23:45,3,
43116,1/16/2018 0:00,3,
43116.01,1/16/2018 0:15,3,
43116.02,1/16/2018 0:30,3,
43116.03,1/16/2018 0:45,3,
43116.04,1/16/2018 1:00,0,
43116.05,1/16/2018 1:15,0,
43116.06,1/16/2018 1:30,0,
43116.07,1/16/2018 1:45,0,
43116.08,1/16/2018 2:00,0,
43116.09,1/16/2018 2:15,0,
43116.1,1/16/2018 2:30,0,
43116.11,1/16/2018 2:45,0,
43116.13,1/16/2018 3:00,0,
43116.14,1/16/2018 3:15,0,
43116.15,1/16/2018 3:30,0,
43116.16,1/16/2018 3:45,0,
43116.17,1/16/2018 4:00,0,
43116.18,1/16/2018 4:15,0,
43116.19,1/16/2018 4:30,0,
43116.2,1/16/2018 4:45,0,
43116.21,1/16/2018 5:00,5,
43116.22,1/16/2018 5:15,5,
43116.23,1/16/2018 5:30,5,
43116.24,1/16/2018 5:45,5,
43116.25,1/16/2018 6:00,17,
43116.26,1/16/2018 6:15,17,
43116.27,1/16/2018 6:30,17,
43116.28,1/16/2018 6:45,17,
43116.29,1/16/2018 7:00,34,
43116.3,1/16/2018 7:15,34,
43116.31,1/16/2018 7:30,34,
43116.32,1/16/2018 7:45,34,
43116.33,1/16/2018 8:00,90,
43116.34,1/16/2018 8:15,90,
43116.35,1/16/2018 8:30,90,
43116.36,1/16/2018 8:45,90,
43116.38,1/16/2018 9:00,10,
43116.39,1/16/2018 9:15,10,
43116.4,1/16/2018 9:30,10,
43116.41,1/16/2018 9:45,10,
43116.42,1/16/2018 10:00,22,
43116.43,1/16/2018 10:15,22,
43116.44,1/16/2018 10:30,22,
43116.45,1/16/2018 10:45,22,
43116.46,1/16/2018 11:00,18,
43116.47,1/16/2018 11:15,18,
43116.48,1/16/2018 11:30,18,
43116.49,1/16/2018 11:45,18,
43116.5,1/16/2018 12:00,34,
43116.51,1/16/2018 12:15,34,
43116.52,1/16/2018 12:30,34,
43116.53,1/16/2018 12:45,34,
43116.54,1/16/2018 13:00,17,
43116.55,1/16/2018 13:15,17,
43116.56,1/16/2018 13:30,17,
43116.57,1/16/2018 13:45,17,
43116.58,1/16/2018 14:00,76,
43116.59,1/16/2018 14:15,76,
43116.6,1/16/2018 14:30,76,
43116.61,1/16/2018 14:45,76,
43116.63,1/16/2018 15:00,46,
43116.64,1/16/2018 15:15,46,
43116.65,1/16/2018 15:30,46,
43116.66,1/16/2018 15:45,46,
43116.67,1/16/2018 16:00,49,
43116.68,1/16/2018 16:15,49,
43116.69,1/16/2018 16:30,49,
43116.7,1/16/2018 16:45,49,
43116.71,1/16/2018 17:00,31,
43116.72,1/16/2018 17:15,31,
43116.73,1/16/2018 17:30,31,
43116.74,1/16/2018 17:45,31,
43116.75,1/16/2018 18:00,9,
43116.76,1/16/2018 18:15,9,
43116.77,1/16/2018 18:30,9,
43116.78,1/16/2018 18:45,9,
43116.79,1/16/2018 19:00,11,
43116.8,1/16/2018 19:15,11,
43116.81,1/16/2018 19:30,11,
43116.82,1/16/2018 19:45,11,
43116.83,1/16/2018 20:00,7,
43116.84,1/16/2018 20:15,7,
43116.85,1/16/2018 20:30,7,
43116.86,1/16/2018 20:45,7,
43116.88,1/16/2018 21:00,7,
43116.89,1/16/2018 21:15,7,
43116.9,1/16/2018 21:30,7,
43116.91,1/16/2018 21:45,7,
43116.92,1/16/2018 22:00,4,
43116.93,1/16/2018 22:15,4,
43116.94,1/16/2018 22:30,4,
43116.95,1/16/2018 22:45,4,
43116.96,1/16/2018 23:00,5,
43116.97,1/16/2018 23:15,5,
43116.98,1/16/2018 23:30,5,
43116.99,1/16/2018 23:45,5,
43117,1/17/2018 0:00,4,
43117.01,1/17/2018 0:15,4,
43117.02,1/17/2018 0:30,4,
43117.03,1/17/2018 0:45,4,
43117.04,1/17/2018 1:00,1,
43117.05,1/17/2018 1:15,1,
43117.06,1/17/2018 1:30,1,
43117.07,1/17/2018 1:45,1,
43117.08,1/17/2018 2:00,0,
43117.09,1/17/2018 2:15,0,
43117.1,1/17/2018 2:30,0,
43117.11,1/17/2018 2:45,0,
43117.13,1/17/2018 3:00,1,
43117.14,1/17/2018 3:15,1,
43117.15,1/17/2018 3:30,1,
43117.16,1/17/2018 3:45,1,
43117.17,1/17/2018 4:00,2,
43117.18,1/17/2018 4:15,2,
43117.19,1/17/2018 4:30,2,
43117.2,1/17/2018 4:45,2,
43117.21,1/17/2018 5:00,3,
43117.22,1/17/2018 5:15,3,
43117.23,1/17/2018 5:30,3,
43117.24,1/17/2018 5:45,3,
43117.25,1/17/2018 6:00,10,
43117.26,1/17/2018 6:15,10,
43117.27,1/17/2018 6:30,10,
43117.28,1/17/2018 6:45,10,
43117.29,1/17/2018 7:00,50,
43117.3,1/17/2018 7:15,50,
43117.31,1/17/2018 7:30,50,
43117.32,1/17/2018 7:45,50,
43117.33,1/17/2018 8:00,82,
43117.34,1/17/2018 8:15,82,
43117.35,1/17/2018 8:30,82,
43117.36,1/17/2018 8:45,82,
43117.38,1/17/2018 9:00,25,
43117.39,1/17/2018 9:15,25,
43117.4,1/17/2018 9:30,25,
43117.41,1/17/2018 9:45,25,
43117.42,1/17/2018 10:00,13,
43117.43,1/17/2018 10:15,13,
43117.44,1/17/2018 10:30,13,
43117.45,1/17/2018 10:45,13,
43117.46,1/17/2018 11:00,15,
43117.47,1/17/2018 11:15,15,
43117.48,1/17/2018 11:30,15,
43117.49,1/17/2018 11:45,15,
43117.5,1/17/2018 12:00,26,
43117.51,1/17/2018 12:15,26,
43117.52,1/17/2018 12:30,26,
43117.53,1/17/2018 12:45,26,
43117.54,1/17/2018 13:00,26,
43117.55,1/17/2018 13:15,26,
43117.56,1/17/2018 13:30,26,
43117.57,1/17/2018 13:45,26,
43117.58,1/17/2018 14:00,46,
43117.59,1/17/2018 14:15,46,
